Date,PX_LAST,YLD_CNV_LAST
31/10/2023,92.697,7.668
30/10/2023,94.096,7.509
27/10/2023,94.839,7.426
26/10/2023,94.592,7.453
25/10/2023,93.871,7.534
24/10/2023,95.865,7.313
23/10/2023,94.54,7.459
20/10/2023,93.963,7.523
19/10/2023,94.154,7.502
18/10/2023,94.945,7.414
17/10/2023,94.624,7.449
16/10/2023,94.943,7.414
13/10/2023,95.181,7.387
12/10/2023,94.101,7.507
11/10/2023,95.704,7.33
10/10/2023,94.789,7.431
06/10/2023,93.1,7.62
05/10/2023,94.13,7.504
04/10/2023,94.481,7.464
03/10/2023,94.096,7.507
02/10/2023,95.199,7.385
29/09/2023,95.468,7.355
28/09/2023,95.388,7.364
27/09/2023,95.246,7.379
26/09/2023,95.233,7.381
25/09/2023,95.207,7.384
22/09/2023,96.285,7.266
21/09/2023,96.465,7.246
20/09/2023,96.154,7.28
19/09/2023,96.333,7.261
18/09/2023,96.674,7.224
15/09/2023,96.484,7.244
14/09/2023,96.599,7.232
13/09/2023,96.387,7.255
12/09/2023,96.633,7.228
11/09/2023,96.291,7.265
08/09/2023,96.271,7.267
07/09/2023,96.81,7.209
06/09/2023,96.993,7.189
05/09/2023,97.15,7.172
01/09/2023,97.94,7.088
31/08/2023,97.512,7.134
30/08/2023,97.237,7.163
29/08/2023,97.61,7.123
28/08/2023,97.08,7.18
25/08/2023,97.286,7.158
24/08/2023,96.653,7.226
23/08/2023,96.956,7.193
22/08/2023,95.599,7.34
21/08/2023,95.949,7.302
18/08/2023,95.814,7.316
17/08/2023,96.361,7.257
16/08/2023,96.525,7.239
15/08/2023,96.798,7.21
14/08/2023,97.563,7.128
11/08/2023,97.171,7.17
10/08/2023,98.306,7.05
09/08/2023,97.87,7.096
08/08/2023,97.502,7.135
07/08/2023,97.32,7.154
04/08/2023,97.8,7.103
03/08/2023,97.399,7.146
02/08/2023,97.754,7.108
01/08/2023,97.856,7.097
31/07/2023,98.785,7
28/07/2023,97.869,7.096
27/07/2023,97.442,7.141
26/07/2023,98.184,7.063
25/07/2023,98.155,7.066
24/07/2023,97.837,7.1
21/07/2023,98.788,7
20/07/2023,97.74,7.11
19/07/2023,98.59,7.021
18/07/2023,98.096,7.072
17/07/2023,97.871,7.096
