Date,PX_LAST,YLD_CNV_LAST
31/10/2023,81.368,7.581
30/10/2023,81.347,7.584
27/10/2023,81.444,7.572
26/10/2023,81.578,7.556
25/10/2023,81.242,7.596
24/10/2023,82.144,7.487
23/10/2023,81.479,7.567
20/10/2023,80.815,7.647
19/10/2023,80.667,7.665
18/10/2023,81.322,7.585
17/10/2023,81.924,7.512
16/10/2023,82.779,7.41
13/10/2023,83.444,7.332
12/10/2023,82.888,7.397
11/10/2023,83.938,7.274
10/10/2023,82.811,7.405
06/10/2023,81.407,7.573
05/10/2023,81.847,7.52
04/10/2023,82.012,7.499
03/10/2023,81.667,7.541
02/10/2023,82.977,7.384
29/09/2023,83.724,7.297
28/09/2023,83.602,7.311
27/09/2023,83.432,7.33
26/09/2023,83.788,7.289
25/09/2023,84.288,7.231
22/09/2023,85.091,7.139
21/09/2023,84.785,7.174
20/09/2023,85.89,7.048
19/09/2023,85.758,7.063
18/09/2023,85.991,7.037
15/09/2023,86.029,7.032
14/09/2023,86.368,6.995
13/09/2023,86.406,6.99
12/09/2023,86.042,7.03
11/09/2023,86.072,7.027
08/09/2023,86.416,6.988
07/09/2023,86.27,7.005
06/09/2023,86.141,7.019
05/09/2023,86.492,6.979
01/09/2023,87.397,6.88
31/08/2023,87.933,6.821
30/08/2023,87.874,6.827
29/08/2023,87.778,6.838
28/08/2023,87.17,6.904
25/08/2023,86.75,6.95
24/08/2023,86.655,6.96
23/08/2023,86.613,6.965
22/08/2023,85.447,7.095
21/08/2023,85.244,7.117
18/08/2023,85.651,7.072
17/08/2023,85.733,7.062
16/08/2023,86.197,7.01
15/08/2023,86.629,6.962
14/08/2023,87.621,6.853
11/08/2023,88.231,6.787
10/08/2023,88.432,6.766
09/08/2023,88.735,6.733
08/08/2023,88.881,6.717
07/08/2023,88.612,6.746
04/08/2023,89.12,6.692
03/08/2023,88.544,6.753
02/08/2023,89.699,6.63
01/08/2023,90.458,6.551
31/07/2023,91.204,6.474
28/07/2023,90.848,6.51
27/07/2023,90.536,6.542
26/07/2023,91.018,6.492
25/07/2023,90.369,6.56
24/07/2023,90.328,6.564
21/07/2023,90.102,6.587
20/07/2023,89.84,6.615
19/07/2023,90.332,6.563
18/07/2023,89.926,6.605
17/07/2023,89.496,6.65
14/07/2023,89.453,6.655
13/07/2023,89.534,6.646
12/07/2023,88.703,6.734
11/07/2023,87.739,6.838
10/07/2023,87.33,6.882
07/07/2023,87.186,6.897
06/07/2023,87.52,6.861
05/07/2023,88.45,6.761
03/07/2023,88.785,6.725
30/06/2023,88.711,6.732
29/06/2023,88.547,6.75
28/06/2023,89.03,6.698
27/06/2023,88.967,6.704
26/06/2023,89.142,6.686
23/06/2023,89.11,6.689
22/06/2023,88.879,6.713
21/06/2023,89.243,6.675
20/06/2023,89.186,6.68
16/06/2023,88.932,6.707
15/06/2023,89.036,6.696
14/06/2023,88.682,6.733
13/06/2023,88.433,6.76
12/06/2023,88.635,6.738
09/06/2023,88.419,6.761
08/06/2023,88.342,6.769
07/06/2023,87.837,6.823
06/06/2023,88.228,6.781
05/06/2023,87.84,6.822
02/06/2023,87.59,6.849
01/06/2023,87.631,6.844
31/05/2023,87.442,6.864
30/05/2023,87.651,6.842
26/05/2023,87.114,6.9
25/05/2023,86.926,6.92
24/05/2023,87.002,6.912
23/05/2023,87.298,6.879
22/05/2023,87.408,6.867
19/05/2023,87.617,6.844
18/05/2023,87.692,6.836
17/05/2023,88.022,6.8
16/05/2023,88.065,6.796
15/05/2023,88.232,6.778
12/05/2023,88.643,6.734
