Date,close,YLD_CNV_LAST
2015-10-06,86.105,6.781
2015-10-07,83.93,6.988
2015-10-08,85.085,6.877
2015-10-09,85.535,6.835
2015-10-13,83.55,7.025
2015-10-14,83.75,7.006
2015-10-15,84.14,6.968
2015-10-16,82.2,7.159
2015-10-19,80.325,7.35
2015-10-20,78.25,7.569
2015-10-21,78.973,7.492
2015-10-22,79.82,7.403
2015-10-23,80.81,7.3
2015-10-26,81.575,7.222
2015-10-27,81.835,7.196
2015-10-28,82.215,7.158
2015-10-29,82.013,7.179
2015-10-30,81.815,7.198
2015-11-02,83.688,7.013
2015-11-03,84.873,6.899
2015-11-04,84.625,6.923
2015-11-05,83.258,7.055
2015-11-06,81.75,7.206
2015-11-09,80.785,7.304
2015-11-10,81.368,7.245
2015-11-12,81.565,7.225
2015-11-13,80.753,7.308
2015-11-16,81.94,7.187
2015-11-17,82.645,7.117
2015-11-18,83.085,7.073
2015-11-19,84.94,6.894
2015-11-20,84.35,6.95
2015-11-23,83.535,7.03
2015-11-24,83.475,7.036
2015-11-25,81.863,7.196
2015-11-27,81.908,7.192
2015-11-30,80.078,7.379
2015-12-01,80.14,7.373
2015-12-02,79.303,7.461
2015-12-03,78.133,7.586
2015-12-04,78.975,7.496
2015-12-07,78.37,7.561
2015-12-08,77.84,7.619
2015-12-09,76.878,7.725
2015-12-10,75.25,7.909
2015-12-11,73.585,8.104
2015-12-14,74.495,7.997
2015-12-15,75.5,7.881
2015-12-16,72.873,8.19
2015-12-17,73.618,8.101
2015-12-18,72.24,8.267
2015-12-21,70.355,8.503
2015-12-22,71.73,8.331
2015-12-23,72.72,8.21
2015-12-24,72.72,8.21
2015-12-28,72.835,8.196
2015-12-29,73.09,8.166
2015-12-30,72.81,8.2
2015-12-31,72.695,8.214
2016-01-04,72.625,8.222
2016-01-05,75.255,7.911
2016-01-06,75.17,7.921
2016-01-07,74.038,8.053
2016-01-08,73.838,8.077
2016-01-11,74.415,8.009
2016-01-12,74.855,7.958
2016-01-13,74.125,8.044
2016-01-14,74.735,7.972
2016-01-15,73.71,8.093
2016-01-19,73.53,8.114
2016-01-20,72.965,8.183
2016-01-21,73.49,8.12
2016-01-22,74.748,7.971
2016-01-25,74.06,8.052
2016-01-26,75.078,7.933
2016-01-27,75.608,7.873
2016-01-28,76.328,7.791
2016-01-29,75.83,7.847
2016-02-01,75.003,7.942
2016-02-02,74.37,8.016
2016-02-03,74.758,7.971
2016-02-04,75.25,7.914
2016-02-05,75.138,7.927
2016-02-08,74.04,8.056
2016-02-09,74.02,8.058
2016-02-10,73.285,8.146
2016-02-11,72.68,8.219
2016-02-12,72.723,8.214
2016-02-16,72.625,8.226
2016-02-17,74.05,8.055
2016-02-18,73.628,8.106
2016-02-19,74.508,8.002
2016-02-22,75.303,7.91
2016-02-23,75.82,7.85
2016-02-24,77.343,7.68
