Date,close,YLD_CNV_LAST
2015-10-06,72.576,9.868
2015-10-07,72.285,9.91
2015-10-08,71.961,9.956
2015-10-09,74.238,9.637
2015-10-13,72.575,9.869
2015-10-14,71.179,10.07
2015-10-15,70.565,10.161
2015-10-16,70.855,10.118
2015-10-19,70.918,10.109
2015-10-20,69.817,10.273
2015-10-21,69.16,10.374
2015-10-22,69.027,10.394
2015-10-23,70.699,10.142
2015-10-26,71.467,10.029
2015-10-27,70.577,10.16
2015-10-28,72.153,9.931
2015-10-29,71.795,9.982
2015-10-30,71.994,9.954
2015-11-02,73.037,9.806
2015-11-03,74.005,9.672
2015-11-04,72.883,9.828
2015-11-05,72.984,9.814
2015-11-06,73.29,9.771
2015-11-09,71.357,10.047
2015-11-10,70.227,10.214
2015-11-12,70.184,10.221
2015-11-13,67.392,10.655
2015-11-16,70.079,10.237
2015-11-17,71.444,10.035
2015-11-18,71.625,10.009
2015-11-19,75.374,9.488
2015-11-20,73.167,9.79
2015-11-23,72.186,9.929
2015-11-24,71.517,10.026
2015-11-25,69.94,10.26
2015-11-27,70.042,10.245
2015-11-30,69.453,10.334
2015-12-01,71.24,10.067
2015-12-02,68.911,10.418
2015-12-03,68.742,10.445
2015-12-04,68.233,10.524
2015-12-07,67.891,10.578
2015-12-08,67.71,10.607
2015-12-09,68.144,10.539
2015-12-10,65.72,10.934
2015-12-11,64.035,11.223
2015-12-14,66.002,10.887
2015-12-15,66.379,10.825
2015-12-16,63.816,11.262
2015-12-17,65.812,10.919
2015-12-18,63.928,11.243
2015-12-21,61.673,11.652
2015-12-22,62.844,11.438
2015-12-23,64.58,11.131
2015-12-24,64.786,11.095
2015-12-28,64.336,11.173
2015-12-29,63.575,11.308
2015-12-30,64.133,11.21
2015-12-31,63.198,11.376
2016-01-04,63.048,11.403
2016-01-05,67.378,10.666
2016-01-06,65.857,10.916
2016-01-07,64.579,11.134
2016-01-08,64.973,11.066
2016-01-11,64.481,11.151
2016-01-12,63.662,11.295
2016-01-13,62.586,11.489
2016-01-14,63.333,11.355
2016-01-15,61.781,11.639
2016-01-19,61.187,11.751
2016-01-20,59.831,12.013
2016-01-21,61.038,11.779
2016-01-22,62.284,11.546
2016-01-25,61.766,11.642
2016-01-26,62.101,11.58
2016-01-27,63.067,11.403
2016-01-28,63.75,11.281
2016-01-29,64.381,11.171
2016-02-01,63.49,11.328
2016-02-02,62.833,11.446
2016-02-03,63.077,11.402
2016-02-04,64.058,11.228
2016-02-05,63.9,11.255
2016-02-08,63.602,11.308
2016-02-09,61.69,11.657
2016-02-10,62.606,11.488
2016-02-11,59.391,12.102
2016-02-12,60.64,11.857
2016-02-16,60.931,11.801
2016-02-17,63.145,11.391
2016-02-18,63.389,11.347
2016-02-19,63.267,11.369
2016-02-22,64.676,11.121
2016-02-23,64.335,11.181
2016-02-24,63.849,11.266
2016-02-25,62.691,11.474
2016-02-26,62.045,11.593
2016-02-29,63.042,11.411
2016-03-01,63.757,11.283
2016-03-02,64.989,11.069
2016-03-03,66.347,10.84
2016-03-04,69.145,10.394
2016-03-07,67.784,10.607
2016-03-08,67.461,10.659
2016-03-09,68.097,10.558
2016-03-10,68.466,10.5
2016-03-11,71.186,10.087
2016-03-14,70.262,10.224
2016-03-15,68.182,10.545
2016-03-16,68.557,10.486
2016-03-17,70.727,10.155
2016-03-18,71.541,10.036
2016-03-21,71.434,10.051
2016-03-22,71.838,9.993
2016-03-23,71.265,10.077
2016-03-24,69.665,10.316
2016-03-28,71.055,10.108
2016-03-29,71.992,9.971
2016-03-30,72.277,9.93
2016-03-31,71.938,9.979
2016-04-01,71.808,9.998
2016-04-04,71.32,10.07
2016-04-05,69.278,10.376
2016-04-06,70.569,10.181
2016-04-07,70.416,10.204
2016-04-08,70.639,10.171
2016-04-11,71.696,10.015
2016-04-12,74.38,9.637
2016-04-13,74.466,9.626
2016-04-14,77.286,9.252
2016-04-15,76.286,9.382
2016-04-18,75.361,9.505
2016-04-19,77.184,9.265
2016-04-20,76.945,9.297
2016-04-21,77.501,9.225
2016-04-22,77.361,9.243
2016-04-25,76.551,9.348
2016-04-26,76.642,9.336
2016-04-27,78.277,9.127
2016-04-28,79.417,8.985
2016-04-29,78.92,9.047
2016-05-02,78.654,9.08
2016-05-03,77.946,9.169
2016-05-04,77.996,9.163
2016-05-05,78.764,9.067
2016-05-06,78.203,9.137
2016-05-09,77.249,9.259
2016-05-10,77.99,9.165
2016-05-11,77.611,9.213
2016-05-12,77.614,9.213
2016-05-13,77.429,9.237
2016-05-16,77.417,9.238
2016-05-17,78.349,9.12
2016-05-18,76.06,9.416
2016-05-19,74.033,9.689
2016-05-20,74.805,9.584
2016-05-23,74.082,9.683
2016-05-24,74.705,9.598
2016-05-25,74.814,9.583
2016-05-26,74.383,9.642
2016-05-27,73.788,9.725
2016-05-31,73.17,9.811
2016-06-01,71.64,10.031
2016-06-02,73.446,9.773
2016-06-03,74.09,9.684
2016-06-06,74.52,9.625
2016-06-07,75.231,9.528
2016-06-08,76.406,9.373
2016-06-09,75.165,9.538
2016-06-10,74.609,9.613
2016-06-13,73.988,9.699
2016-06-14,73.276,9.798
2016-06-15,74.448,9.636
2016-06-16,74.149,9.677
2016-06-17,75.47,9.498
2016-06-20,76.841,9.317
2016-06-21,76.223,9.398
2016-06-22,77.278,9.261
2016-06-23,78.489,9.107
2016-06-24,78.111,9.155
2016-06-27,76.323,9.386
2016-06-28,77.659,9.213
2016-06-29,79.356,9.0
2016-06-30,80.55,8.854
2016-07-01,83.184,8.544
2016-07-05,82.593,8.613
2016-07-06,82.794,8.59
2016-07-07,82.771,8.593
2016-07-08,83.276,8.535
2016-07-11,84.188,8.431
2016-07-12,84.532,8.393
2016-07-13,85.097,8.33
2016-07-14,85.893,8.243
2016-07-15,84.993,8.342
2016-07-18,84.131,8.438
2016-07-19,83.765,8.48
2016-07-20,83.039,8.563
2016-07-21,82.864,8.583
2016-07-22,84.348,8.414
2016-07-25,83.835,8.472
2016-07-26,82.903,8.579
2016-07-27,83.173,8.548
2016-07-28,82.717,8.6
2016-07-29,83.263,8.537
2016-08-01,82.677,8.605
2016-08-02,82.206,8.66
2016-08-03,83.259,8.538
2016-08-04,85.228,8.316
2016-08-05,86.298,8.199
2016-08-08,88.174,7.999
2016-08-09,89.591,7.853
2016-08-10,89.77,7.834
2016-08-11,88.872,7.927
2016-08-12,89.945,7.817
2016-08-15,90.187,7.792
2016-08-16,90.403,7.77
2016-08-17,90.066,7.804
2016-08-18,90.107,7.8
2016-08-19,90.257,7.785
2016-08-22,90.296,7.781
2016-08-23,89.549,7.857
2016-08-24,89.079,7.905
2016-08-25,87.951,8.023
2016-08-26,88.453,7.97
2016-08-29,88.924,7.922
2016-08-30,89.236,7.889
2016-08-31,89.095,7.904
2016-09-01,88.61,7.954
2016-09-02,89.014,7.912
2016-09-06,89.812,7.831
2016-09-07,90.856,7.725
2016-09-08,90.307,7.78
2016-09-09,87.634,8.057
2016-09-12,88.17,8.001
2016-09-13,86.354,8.194
2016-09-14,86.325,8.198
2016-09-15,86.306,8.2
2016-09-16,85.946,8.239
2016-09-19,87.269,8.096
2016-09-20,87.387,8.084
2016-09-21,89.79,7.833
2016-09-22,90.306,7.781
2016-09-23,88.532,7.963
2016-09-26,87.981,8.021
2016-09-27,89.068,7.908
2016-09-28,88.616,7.955
2016-09-29,88.566,7.96
2016-09-30,87.82,8.038
2016-10-03,87.842,8.036
2016-10-04,86.418,8.188
2016-10-05,86.053,8.228
2016-10-06,87.064,8.119
2016-10-07,86.196,8.213
2016-10-11,86.381,8.193
2016-10-12,86.514,8.179
2016-10-13,87.377,8.086
2016-10-14,88.228,7.996
2016-10-17,88.206,7.998
2016-10-18,89.213,7.894
2016-10-19,90.303,7.782
2016-10-20,90.565,7.756
2016-10-21,91.071,7.705
2016-10-24,92.197,7.594
2016-10-25,91.971,7.616
2016-10-26,90.787,7.734
2016-10-27,90.177,7.795
2016-10-28,89.654,7.849
2016-10-31,90.165,7.797
2016-11-01,88.941,7.922
2016-11-02,87.554,8.068
2016-11-03,87.98,8.023
2016-11-04,87.925,8.029
2016-11-07,90.09,7.805
2016-11-08,89.897,7.825
2016-11-09,87.88,8.034
2016-11-10,84.312,8.424
2016-11-14,80.424,8.879
2016-11-15,83.361,8.532
